#Image,X,Y,Z,Omega,Phi,Kappa,SigmaHoriz,SigmaVert,Latitude,Longitude
Elettra-Carroponte2024-4153_pt.jpg,3.45,-1.11,5.623628,-2.108213,0.363281,-170.57829,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4154_pt.jpg,3.45,-1.11,5.623628,-2.061882,0.155444,-169.964174,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4155_pt.jpg,3.45,-1.11,5.623628,-2.115859,0.106699,-169.325993,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4156_pt.jpg,3.45,-1.11,5.623628,-2.123609,0.105811,-168.676987,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4157_pt.jpg,3.45,-1.11,5.623628,-2.070975,0.03817,-168.037726,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4158_pt.jpg,3.45,-1.11,5.623628,-2.076106,-0.082467,-167.455921,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4159_pt.jpg,3.45,-1.11,5.623628,-2.073667,-0.199698,-166.871959,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4160_pt.jpg,3.45,-1.11,5.623628,-2.095291,-0.200939,-166.397257,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4161_pt.jpg,3.45,-1.11,5.623628,-2.001838,-0.44029,-166.340061,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4162_pt.jpg,3.45,-1.11,5.623628,-2.038753,-0.462229,-166.288618,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4163_pt.jpg,3.45,-1.11,5.623628,-2.042273,-0.466091,-165.829448,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4164_pt.jpg,3.45,-1.11,5.623628,-2.04755,-0.68007,-165.283208,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4165_pt.jpg,3.45,-1.11,5.623628,-2.042983,-0.634433,-164.673403,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4166_pt.jpg,3.45,-1.11,5.623628,-2.048481,-0.655046,-164.016726,1.0,0.3,45.64495512343859,13.850640981970612
Elettra-Carroponte2024-4167_pt.jpg,3.45,-1.11,5.623628,-2.09904,-0.532436,-163.361569,1.0,0.3,45.64495512343859,13.850640981970612
